,x,y,z,time,charge
181,505.27,257.88,-72.47,11877,1.3250000476837158
182,472.05,127.9,10.67,11881,1.274999976158142
183,505.27,257.88,-89.49,11888,0.4749999940395355
184,505.27,257.88,-55.45,11905,1.375
185,505.27,257.88,-106.51,11912,0.875
186,505.27,257.88,-106.51,11919,0.32499998807907104
187,505.27,257.88,-72.47,11935,0.675000011920929
188,505.27,257.88,-55.45,11936,0.925000011920929
189,505.27,257.88,-89.49,11946,0.925000011920929
190,124.97,-131.25,34.09,11949,0.9750000238418579
191,505.27,257.88,-72.47,11955,0.7250000238418579
192,505.27,257.88,-72.47,11962,0.375
193,505.27,257.88,-72.47,11971,1.274999976158142
194,505.27,257.88,-89.49,11971,0.375
195,505.27,257.88,-72.47,11976,1.274999976158142
196,505.27,257.88,-72.47,12068,1.3250000476837158
197,505.27,257.88,-89.49,12069,0.675000011920929
198,224.58,432.35,-319.93,12081,1.0750000476837158
199,505.27,257.88,-55.45,12083,1.475000023841858
200,194.34,-30.92,265.8,12180,1.125
201,194.34,-30.92,-6.53,12240,1.125
202,41.6,35.49,109.43,12246,1.024999976158142
203,505.27,257.88,-72.47,12250,0.824999988079071
204,505.27,257.88,-72.47,12337,3.4749999046325684
205,505.27,257.88,-72.47,12350,8.975000381469727
206,90.49,82.35,8.06,12360,0.9750000238418579
207,-492.43,-230.16,157.19,12384,0.7749999761581421
208,46.29,-34.88,58.44,12467,0.625
209,505.27,257.88,-72.47,12581,0.7749999761581421
210,505.27,257.88,-89.49,12731,0.925000011920929
211,-268.9,354.24,416.43,12735,0.42500001192092896
212,-368.93,-210.23,432.45,13037,1.0750000476837158
213,-224.09,470.86,-8.2,13057,0.625
214,505.27,257.88,-72.47,13287,1.0750000476837158
215,505.27,257.88,-72.47,13525,0.574999988079071
216,505.27,257.88,-89.49,13656,0.925000011920929
217,505.27,257.88,-89.49,13781,0.7250000238418579
218,505.27,257.88,-72.47,13931,0.875
219,-111.51,159.98,-316.46,14022,0.42500001192092896
220,-290.66,-307.38,-432.0,14104,1.3250000476837158
221,292.9,5.2,-19.22,14173,0.9750000238418579
222,326.85,-209.07,277.15,14320,0.7250000238418579
223,41.6,35.49,-312.09,14508,1.125
224,210.47,-209.77,-490.26,14865,0.7250000238418579
225,505.27,257.88,-89.49,14931,1.1749999523162842
226,-156.23,43.37,-452.33,15236,0.625
227,-156.23,43.37,-452.33,15248,0.574999988079071
228,-66.7,276.92,429.74,15854,1.6749999523162842
229,22.11,509.5,62.13,15943,1.1749999523162842
230,-526.63,-15.6,-467.52,16359,0.7250000238418579
231,-9.13,-481.74,-45.43,16472,0.925000011920929
232,-166.4,-287.79,327.33,16751,0.625
233,46.29,-34.88,75.46,17589,0.9750000238418579
